frame,x,y,score,body_part
0,240,302,0.6606094241142273,pelvis
0,204,306,0.6553170084953308,dx_hip
0,222,453,0.8101888298988342,dx_knee
0,238,585,0.8254991173744202,dx_foot
0,278,300,0.6189672350883484,sx_hip
0,273,446,0.8669182062149048,sx_knee
0,271,585,0.845117449760437,sx_foot
1,238,302,0.6718572974205017,pelvis
1,202,304,0.645666241645813,dx_hip
1,222,455,0.8120301365852356,dx_knee
1,240,585,0.8209121823310852,dx_foot
1,276,300,0.6166907548904419,sx_hip
1,273,446,0.869415283203125,sx_knee
1,271,588,0.8239637017250061,sx_foot
2,238,304,0.6898999810218811,pelvis
2,202,304,0.6526960134506226,dx_hip
2,222,451,0.8219575881958008,dx_knee
2,240,585,0.8137519359588623,dx_foot
2,273,302,0.6484200358390808,sx_hip
2,272,446,0.8615441918373108,sx_knee
2,271,588,0.8334124088287354,sx_foot
3,235,302,0.6866024136543274,pelvis
3,200,304,0.6377665996551514,dx_hip
3,222,448,0.8320581316947937,dx_knee
3,238,588,0.807288408279419,dx_foot
3,272,300,0.6572337746620178,sx_hip
3,272,446,0.863051176071167,sx_knee
3,271,588,0.8205835223197937,sx_foot
4,235,302,0.6917433738708496,pelvis
4,200,306,0.6590997576713562,dx_hip
4,220,451,0.8441938161849976,dx_knee
4,238,585,0.8275818824768066,dx_foot
4,271,300,0.663589596748352,sx_hip
4,272,446,0.8653745055198669,sx_knee
4,271,588,0.8250219225883484,sx_foot
5,235,302,0.6800501346588135,pelvis
5,200,304,0.639386773109436,dx_hip
5,220,451,0.8423663377761841,dx_knee
5,238,583,0.832594096660614,dx_foot
5,271,297,0.6553930640220642,sx_hip
5,273,444,0.8764325380325317,sx_knee
5,271,585,0.8480605483055115,sx_foot
6,235,300,0.6895751357078552,pelvis
6,200,306,0.6486085057258606,dx_hip
6,220,451,0.8443140983581543,dx_knee
6,238,585,0.8339316844940186,dx_foot
6,271,295,0.6761787533760071,sx_hip
6,273,442,0.8501918315887451,sx_knee
6,276,583,0.7943215370178223,sx_foot
7,235,304,0.6923726201057434,pelvis
7,197,306,0.6496749520301819,dx_hip
7,220,453,0.8470732569694519,dx_knee
7,238,585,0.8124194741249084,dx_foot
7,271,297,0.6837701201438904,sx_hip
7,284,440,0.8234392404556274,sx_knee
7,289,583,0.784221351146698,sx_foot
8,233,297,0.6779547333717346,pelvis
8,193,304,0.6495486497879028,dx_hip
8,218,451,0.84703528881073,dx_knee
8,238,585,0.8169828653335571,dx_foot
8,271,293,0.6936510801315308,sx_hip
8,289,439,0.8207668662071228,sx_knee
8,313,585,0.7207158207893372,sx_foot
9,227,295,0.6656771302223206,pelvis
9,189,304,0.6686013340950012,dx_hip
9,218,457,0.8428955078125,dx_knee
9,238,588,0.8104264736175537,dx_foot
9,269,293,0.6900579333305359,sx_hip
9,304,430,0.8487235307693481,sx_knee
9,340,579,0.7614208459854126,sx_foot
10,227,293,0.6619680523872375,pelvis
10,186,297,0.6527400612831116,dx_hip
10,217,457,0.8319145441055298,dx_knee
10,238,588,0.8102740049362183,dx_foot
10,269,286,0.661636471748352,sx_hip
10,320,428,0.8130050897598267,sx_knee
10,370,564,0.752467930316925,sx_foot
11,222,289,0.685138463973999,pelvis
11,186,295,0.6790627241134644,dx_hip
11,216,453,0.8224237561225891,dx_knee
11,238,588,0.8030580878257751,dx_foot
11,267,281,0.6552824974060059,sx_hip
11,333,415,0.7499037981033325,sx_knee
11,408,546,0.7321686148643494,sx_foot
12,220,289,0.721382200717926,pelvis
12,184,295,0.6893151998519897,dx_hip
12,218,455,0.8224853277206421,dx_knee
12,238,588,0.7975624203681946,dx_foot
12,261,277,0.6742972731590271,sx_hip
12,342,397,0.6996573805809021,sx_knee
12,433,528,0.7171390056610107,sx_foot
13,220,286,0.7273605465888977,pelvis
13,184,293,0.6989246606826782,dx_hip
13,218,457,0.8382214903831482,dx_knee
13,238,588,0.8062623143196106,dx_foot
13,261,277,0.6865307092666626,sx_hip
13,355,381,0.7602189183235168,sx_knee
13,476,495,0.6818148493766785,sx_foot
