frame,x,y,body_part
21.0,345.0,199.75,sx_shoulder
21.0,354.5,277.25,sx_elbow
21.0,362.0,348.5,sx_hand
22.0,293.6,203.0,neck
22.0,249.0,203.8,dx_shoulder
22.0,239.6,285.4,dx_elbow
22.0,226.2,355.4,dx_hand
22.0,341.2,200.2,sx_shoulder
22.0,353.4,277.6,sx_elbow
22.0,361.6,349.6,sx_hand
23.0,293.2,202.2,neck
23.0,249.0,203.8,dx_shoulder
23.0,236.0,282.2,dx_elbow
23.0,221.8,353.8,dx_hand
23.0,340.4,199.2,sx_shoulder
23.0,355.8,278.0,sx_elbow
23.0,369.0,351.4,sx_hand
24.0,294.2,201.4,neck
24.0,249.2,203.2,dx_shoulder
24.0,230.8,280.6,dx_elbow
24.0,207.0,350.8,dx_hand
24.0,341.2,199.2,sx_shoulder
24.0,359.8,278.0,sx_elbow
24.0,381.4,350.0,sx_hand
25.0,294.2,201.8,neck
25.0,250.4,202.8,dx_shoulder
25.0,220.6,275.2,dx_elbow
25.0,191.2,341.6,dx_hand
25.0,341.2,199.2,sx_shoulder
25.0,370.2,274.2,sx_elbow
25.0,398.8,340.4,sx_hand
26.0,293.8,201.6,neck
26.0,248.8,202.6,dx_shoulder
26.0,209.8,269.2,dx_elbow
26.0,171.2,331.0,dx_hand
26.0,340.0,199.8,sx_shoulder
26.0,380.6,270.2,sx_elbow
26.0,418.6,333.8,sx_hand
27.0,293.4,201.0,neck
27.0,248.8,202.6,dx_shoulder
27.0,199.0,265.6,dx_elbow
27.0,150.4,323.8,dx_hand
27.0,340.0,198.8,sx_shoulder
27.0,388.2,260.2,sx_elbow
27.0,437.6,320.8,sx_hand
28.0,294.4,199.0,neck
28.0,251.0,200.0,dx_shoulder
28.0,182.6,237.2,dx_elbow
28.0,116.4,271.8,dx_hand
28.0,341.4,196.2,sx_shoulder
28.0,404.8,227.4,sx_elbow
28.0,478.4,262.8,sx_hand
29.0,295.4,198.2,neck
29.0,251.6,199.2,dx_shoulder
29.0,181.0,225.6,dx_elbow
29.0,109.6,250.2,dx_hand
29.0,340.8,196.4,sx_shoulder
29.0,411.4,217.2,sx_elbow
29.0,490.4,242.6,sx_hand
30.0,295.0,197.6,neck
30.0,251.0,199.0,dx_shoulder
30.0,174.4,212.6,dx_elbow
30.0,101.6,225.2,dx_hand
30.0,339.6,195.0,sx_shoulder
30.0,413.6,203.0,sx_elbow
30.0,496.4,215.6,sx_hand
31.0,295.4,196.6,neck
31.0,250.2,198.2,dx_shoulder
31.0,171.6,201.4,dx_elbow
31.0,97.4,207.8,dx_hand
31.0,340.2,194.6,sx_shoulder
31.0,420.4,195.6,sx_elbow
31.0,500.2,197.6,sx_hand
32.0,297.0,194.25,neck
32.0,253.25,195.25,dx_shoulder
32.0,169.25,194.25,dx_elbow
32.0,93.5,196.75,dx_hand
32.0,341.5,192.75,sx_shoulder
32.0,422.0,189.0,sx_elbow
32.0,507.25,188.0,sx_hand
33.0,295.6,194.8,neck
33.0,251.4,196.2,dx_shoulder
33.0,166.0,188.2,dx_elbow
33.0,95.0,184.2,dx_hand
33.0,341.2,192.2,sx_shoulder
33.0,425.0,181.8,sx_elbow
33.0,501.2,172.0,sx_hand
34.0,295.75,190.25,neck
34.0,251.25,191.0,dx_shoulder
34.0,164.75,184.75,dx_elbow
34.0,96.5,171.25,dx_hand
34.0,338.75,187.5,sx_shoulder
34.0,425.25,175.0,sx_elbow
34.0,502.0,166.0,sx_hand
35.0,297.0,188.33333333333334,neck
35.0,252.33333333333334,189.66666666666666,dx_shoulder
35.0,164.66666666666666,180.0,dx_elbow
35.0,100.33333333333333,169.0,dx_hand
35.0,342.0,187.33333333333334,sx_shoulder
35.0,426.3333333333333,174.0,sx_elbow
35.0,500.6666666666667,163.33333333333334,sx_hand
36.0,297.6666666666667,188.33333333333334,neck
36.0,253.33333333333334,189.66666666666666,dx_shoulder
36.0,164.33333333333334,180.0,dx_elbow
36.0,99.0,169.0,dx_hand
36.0,342.0,187.0,sx_shoulder
36.0,426.3333333333333,174.33333333333334,sx_elbow
36.0,500.0,162.66666666666666,sx_hand
37.0,296.5,191.0,neck
37.0,252.75,192.5,dx_shoulder
37.0,165.5,183.5,dx_elbow
37.0,98.75,171.25,dx_hand
37.0,340.25,189.5,sx_shoulder
37.0,424.75,176.0,sx_elbow
37.0,500.25,165.5,sx_hand
38.0,297.25,193.25,neck
38.0,253.25,194.25,dx_shoulder
38.0,168.75,186.0,dx_elbow
38.0,98.75,176.5,dx_hand
38.0,340.25,191.25,sx_shoulder
38.0,424.0,178.75,sx_elbow
38.0,500.25,169.25,sx_hand
39.0,299.0,193.0,neck
39.0,254.66666666666666,194.33333333333334,dx_shoulder
39.0,173.0,187.0,dx_elbow
39.0,100.33333333333333,187.33333333333334,dx_hand
39.0,342.3333333333333,190.33333333333334,sx_shoulder
39.0,424.6666666666667,182.33333333333334,sx_elbow
39.0,501.0,172.33333333333334,sx_hand
40.0,300.0,193.0,neck
40.0,254.66666666666666,194.33333333333334,dx_shoulder
40.0,181.66666666666666,189.0,dx_elbow
40.0,102.33333333333333,188.0,dx_hand
40.0,343.6666666666667,192.33333333333334,sx_shoulder
40.0,424.3333333333333,184.66666666666666,sx_elbow
40.0,500.6666666666667,178.0,sx_hand
41.0,298.3333333333333,196.33333333333334,neck
41.0,252.66666666666666,197.66666666666666,dx_shoulder
41.0,166.66666666666666,190.33333333333334,dx_elbow
41.0,94.66666666666667,185.0,dx_hand
41.0,341.6666666666667,194.33333333333334,sx_shoulder
41.0,423.3333333333333,185.66666666666666,sx_elbow
41.0,501.6666666666667,182.0,sx_hand
42.0,298.0,193.75,neck
42.0,253.75,194.75,dx_shoulder
42.0,175.75,188.5,dx_elbow
42.0,96.75,184.5,dx_hand
42.0,342.0,192.25,sx_shoulder
42.0,424.5,182.75,sx_elbow
42.0,501.25,176.5,sx_hand
43.0,300.3333333333333,193.66666666666666,neck
43.0,255.33333333333334,194.33333333333334,dx_shoulder
43.0,190.0,191.0,dx_elbow
43.0,98.0,183.0,dx_hand
43.0,345.3333333333333,192.66666666666666,sx_shoulder
43.0,424.3333333333333,182.33333333333334,sx_elbow
43.0,500.3333333333333,176.0,sx_hand
44.0,298.25,194.25,neck
44.0,254.25,195.25,dx_shoulder
44.0,175.75,185.25,dx_elbow
44.0,96.25,174.25,dx_hand
44.0,343.75,193.25,sx_shoulder
44.0,424.0,177.5,sx_elbow
44.0,501.0,165.5,sx_hand
45.0,300.0,191.66666666666666,neck
45.0,257.0,192.0,dx_shoulder
45.0,179.66666666666666,183.66666666666666,dx_elbow
45.0,99.66666666666667,167.66666666666666,dx_hand
45.0,346.3333333333333,192.66666666666666,sx_shoulder
45.0,428.0,173.33333333333334,sx_elbow
45.0,506.0,157.66666666666666,sx_hand
46.0,297.5,194.5,neck
46.0,253.75,194.5,dx_shoulder
46.0,171.25,176.0,dx_elbow
46.0,100.75,156.75,dx_hand
46.0,342.75,192.75,sx_shoulder
46.0,425.5,168.25,sx_elbow
46.0,500.0,149.0,sx_hand
47.0,297.75,190.75,neck
47.0,253.0,190.25,dx_shoulder
47.0,169.75,166.5,dx_elbow
47.0,102.0,147.5,dx_hand
