frame,variance
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.0
3,0.0
4,0.0
4,0.0
4,0.0
4,0.0
5,0.0
5,0.0
5,0.0
5,0.0
6,0.0
6,0.0
6,0.0
6,0.0
7,0.0
7,0.0
7,0.0
7,0.0
8,0.0
8,0.0
8,0.0
8,0.0
9,0.0
9,0.0
9,0.0
9,0.0
10,0.0
10,0.0
10,0.0
10,0.0
11,0.0
11,0.0
11,0.0
11,0.0
12,0.0
12,0.0
12,0.0
12,0.0
13,0.0
13,0.0
13,0.0
13,0.0
14,0.0
14,0.0
14,0.0
14,0.0
15,0.0
15,0.0
15,0.0
15,0.0
16,0.0
16,0.0
16,0.0
16,0.0
17,0.012107383823994233
17,0.003383526110466606
17,0.003658395254432234
17,0.0006864187996541427
18,0.04734987638896315
18,0.004719912993285391
18,0.021487253902210512
18,0.0020706997533585514
19,0.04675871864566061
19,0.005247464493106813
19,0.007691285056250163
19,4.3981944439608345e-05
20,0.03869937176726601
20,0.0044603108423178495
20,0.04675282541332526
20,0.0007670622919432324
21,0.05010472888736417
21,0.005161884290597052
21,0.06249417176179417
21,0.002537039970464172
22,0.12074472854794893
22,0.014264905850208186
22,0.08524739132102965
22,0.012364800426997257
23,0.08169644423039735
23,0.0008899086118294042
23,0.060942561739524614
23,0.006887865598963594
24,0.06252614027013914
24,0.014214652449955168
24,0.07270564910985933
24,0.006149429666389539
25,0.11246515165562976
25,0.005732425738683222
25,0.07623544396997406
25,0.0035069064924962757
26,0.1403015910103944
26,0.000734474962858922
26,0.11868073294940773
26,0.0010218950502342895
27,0.16773483551972063
27,0.008201032093685102
27,0.05581633134194386
27,0.003824643393468019
28,0.16381076270166597
28,0.0027132180217097402
28,0.19659748068327926
28,0.0047442366565095375
29,0.08745614653366249
29,0.0014011108949835594
29,0.08464221191690675
29,0.0033020608964562824
30,0.03805675273167812
30,0.013364391619882232
30,0.03226873491351758
30,0.006371829704280896
31,0.008926384433964717
31,0.006644964107483342
31,0.008062333457798453
31,0.0019252920571643183
32,0.004516323627481944
32,0.00393064939102758
