frame,medium_dist
0,0.7626381490195202
0,0.01214672059048828
0,0.1878404698623188
0,0.010756708000821543
1,0.7882968515758988
1,0.006149750089562566
1,0.23457079402011358
1,0.011071220253571675
2,0.8529437313597639
2,0.004669971830431205
2,0.33667893105691127
2,0.012197640334372803
3,0.9303445833276272
3,0.002453246133035769
3,0.5092605532928773
3,0.001479925300441498
4,0.9462810061961653
4,0.004778130465218929
4,0.4743853239511915
4,0.005986243682386279
5,0.8572869651465557
5,0.004522186824068908
5,0.2739873637794369
5,0.020238086408134404
6,0.904765019216807
6,0.003950379693193525
6,0.3654615805539303
6,0.011135154211380985
7,0.9601662481419048
7,0.003572808709830075
7,0.5912518079419821
7,0.002569028326409168
8,0.9981175111614982
8,0.002784565210809341
8,0.8399748489307963
8,0.002495276181478732
9,0.9843523612039726
9,0.0028300531974230552
9,1.0025240455718338
9,0.0011622636561897273
10,0.9824306149199309
10,0.0024260799146716343
10,1.0987631733287717
10,0.0004827400853998016
11,1.0934603439590862
11,0.001757301152241153
11,1.1643989873053573
11,9.9171914757612e-05
