frame,x,y,score,body_part
45,353,190,0,sx_shoulder
45,432,197,0,sx_elbow
45,513,181,0,sx_hand
46,309,125,0,head
46,302,186,0,neck
46,258,183,0,dx_shoulder
46,176,181,0,dx_elbow
46,95,151,0,dx_hand
46,353,188,0,sx_shoulder
46,430,186,0,sx_elbow
46,516,169,0,sx_hand
47,309,125,0,head
47,302,186,0,neck
47,258,183,0,dx_shoulder
47,179,176,0,dx_elbow
47,97,146,0,dx_hand
47,353,186,0,sx_shoulder
47,432,183,0,sx_elbow
47,516,165,0,sx_hand
48,306,125,0,head
48,302,186,0,neck
48,255,183,0,dx_shoulder
48,176,169,0,dx_elbow
48,97,141,0,dx_hand
48,353,186,0,sx_shoulder
48,437,181,0,sx_elbow
48,518,162,0,sx_hand
49,306,125,0,head
49,302,183,0,neck
49,258,183,0,dx_shoulder
49,176,165,0,dx_elbow
49,97,132,0,dx_hand
49,353,186,0,sx_shoulder
49,439,181,0,sx_elbow
49,520,155,0,sx_hand
50,309,125,0,head
50,302,183,0,neck
50,260,183,0,dx_shoulder
50,181,165,0,dx_elbow
50,97,130,0,dx_hand
50,353,186,0,sx_shoulder
50,432,179,0,sx_elbow
50,518,153,0,sx_hand
51,309,125,0,head
51,302,183,0,neck
51,260,183,0,dx_shoulder
51,179,162,0,dx_elbow
51,93,125,0,dx_hand
51,353,186,0,sx_shoulder
51,432,174,0,sx_elbow
51,516,148,0,sx_hand
52,309,123,0,head
52,302,183,0,neck
52,260,183,0,dx_shoulder
52,179,160,0,dx_elbow
52,93,120,0,dx_hand
52,353,183,0,sx_shoulder
52,430,174,0,sx_elbow
52,516,148,0,sx_hand
53,304,123,0,head
53,300,183,0,neck
53,255,183,0,dx_shoulder
53,176,158,0,dx_elbow
53,88,116,0,dx_hand
53,351,183,0,sx_shoulder
53,427,174,0,sx_elbow
53,516,148,0,sx_hand
54,304,125,0,head
54,300,183,0,neck
54,255,183,0,dx_shoulder
54,176,158,0,dx_elbow
54,90,116,0,dx_hand
54,351,183,0,sx_shoulder
54,432,172,0,sx_elbow
54,518,151,0,sx_hand
55,304,125,0,head
55,300,183,0,neck
55,255,183,0,dx_shoulder
55,174,155,0,dx_elbow
55,95,118,0,dx_hand
