frame,x,y,body_part
32,307,195,neck
32,258,195,dx_shoulder
32,172,199,dx_elbow
32,98,202,dx_hand
32,350,193,sx_shoulder
32,426,194,sx_elbow
32,513,190,sx_hand
33,307,193,neck
33,256,193,dx_shoulder
33,173,187,dx_elbow
33,100,188,dx_hand
33,351,191,sx_shoulder
33,433,189,sx_elbow
33,505,171,sx_hand
34,307,188,neck
34,255,188,dx_shoulder
34,173,184,dx_elbow
34,99,171,dx_hand
34,349,186,sx_shoulder
34,432,177,sx_elbow
34,505,169,sx_hand
35,307,188,neck
35,258,188,dx_shoulder
35,174,182,dx_elbow
35,101,169,dx_hand
35,349,186,sx_shoulder
35,430,177,sx_elbow
35,503,169,sx_hand
36,307,188,neck
36,258,188,dx_shoulder
36,173,182,dx_elbow
36,99,169,dx_hand
36,349,186,sx_shoulder
36,427,178,sx_elbow
36,503,169,sx_hand
37,307,188,neck
37,258,188,dx_shoulder
37,177,184,dx_elbow
37,102,171,dx_hand
37,350,186,sx_shoulder
37,427,178,sx_elbow
37,503,169,sx_hand
38,310,195,neck
38,258,195,dx_shoulder
38,177,187,dx_elbow
38,102,183,dx_hand
38,352,193,sx_shoulder
38,430,187,sx_elbow
38,503,172,sx_hand
39,310,195,neck
39,260,195,dx_shoulder
39,176,187,dx_elbow
39,102,188,dx_hand
39,352,193,sx_shoulder
39,430,192,sx_elbow
39,503,176,sx_hand
40,310,195,neck
40,258,195,dx_shoulder
40,175,189,dx_elbow
40,102,188,dx_hand
40,352,195,sx_shoulder
40,428,192,sx_elbow
40,504,188,sx_hand
41,310,195,neck
41,258,195,dx_shoulder
41,175,189,dx_elbow
41,102,190,dx_hand
41,352,193,sx_shoulder
41,425,192,sx_elbow
41,504,188,sx_hand
42,310,195,neck
42,260,195,dx_shoulder
42,177,189,dx_elbow
42,105,190,dx_hand
42,352,193,sx_shoulder
42,428,194,sx_elbow
42,504,191,sx_hand
43,310,195,neck
43,260,195,dx_shoulder
43,179,189,dx_elbow
43,105,188,dx_hand
43,352,193,sx_shoulder
43,428,192,sx_elbow
43,501,189,sx_hand
44,310,195,neck
44,260,195,dx_shoulder
44,182,187,dx_elbow
44,105,185,dx_hand
44,352,195,sx_shoulder
44,425,192,sx_elbow
44,503,186,sx_hand
45,310,193,neck
45,263,192,dx_shoulder
45,196,186,dx_elbow
45,106,171,dx_hand
45,352,193,sx_shoulder
45,432,182,sx_elbow
45,517,171,sx_hand
46,310,188,neck
46,263,188,dx_shoulder
46,181,174,dx_elbow
46,111,161,dx_hand
46,350,186,sx_shoulder
46,425,178,sx_elbow
46,503,167,sx_hand
47,309,185,neck
47,260,185,dx_shoulder
47,177,167,dx_elbow
47,110,150,dx_hand
47,350,183,sx_shoulder
47,432,172,sx_elbow
47,502,150,sx_hand
48,307,183,neck
48,258,183,dx_shoulder
48,178,158,dx_elbow
48,115,133,dx_hand
48,349,181,sx_shoulder
48,419,163,sx_elbow
48,496,135,sx_hand
49,307,186,neck
49,258,188,dx_shoulder
49,190,151,dx_elbow
49,119,116,dx_hand
49,350,183,sx_shoulder
49,424,154,sx_elbow
49,495,115,sx_hand
50,309,183,neck
50,258,185,dx_shoulder
50,199,148,dx_elbow
50,134,110,dx_hand
50,351,181,sx_shoulder
50,428,138,sx_elbow
50,487,99,sx_hand
51,307,183,neck
51,260,185,dx_shoulder
51,194,137,dx_elbow
51,138,95,dx_hand
51,349,181,sx_shoulder
51,420,136,sx_elbow
51,477,87,sx_hand
52,307,183,neck
52,262,185,dx_shoulder
52,196,127,dx_elbow
52,139,78,dx_hand
52,349,181,sx_shoulder
52,417,119,sx_elbow
52,467,74,sx_hand
53,309,183,neck
53,267,185,dx_shoulder
53,210,126,dx_elbow
53,156,72,dx_hand
53,349,179,sx_shoulder
53,405,117,sx_elbow
53,455,58,sx_hand
54,307,183,neck
54,267,185,dx_shoulder
54,213,124,dx_elbow
54,167,57,dx_hand
54,348,179,sx_shoulder
